,Review,Ratings
1,book bay suite family seamless book process hotline worry check process fast not many sand lounge recommend pay little club lounge benefit general queue long room quality excellent view garden bay tip breakfast spago food coffee quality superior restaurant option butler service great fruit cooky milk cake deliver daily book pool slot advance win disappointed amazing experience swim sky beautiful city skyline backdrop five star high service quality among every staff room quality hope tv upgraded soon look pretty outdated time smart tv netflix youtube current trend perfect stay,Positive
2,world class service highly recommend anyone believe top service imperative enjoyable stay part may not spank new eg balcony tile beyond satisfied excellence customer service stay certainly reason enough want come back whenever call concern bathroom pool slot belonging leave behind not address professionally empathetically swiftly must say massive marina bay sand really surprise us impeccable standard guest relation clearly guest satisfaction top priority therefore understood inside leave even discern guest impressed assure enjoyable memorable time special thanks first foremost edmund take feedback seriously go beyond meet expectation peter follow diligently find best solution us nicole also saw extra request polite housekeep gentleman attend us night day thank make stay happy one,Positive
3,family adult kid thoroughly enjoyable staycation marina bay sand room level good city view look window apple stand leave artmuseum right whole complex very crowd say living covid restriction car park bit hazzle q check restaurant busy meal time access infinity pool difficult guest limit one hour session per day skypark observation deck level must go mbs much enjoy night day stay,Positive
4,look unforgettable staycation experience please go mbs celebrated birthday city view high floor premier room moment walk room amaze huge window capture beautiful skyline marina bay therapeutic regardless weather rain couple time infinity pool really sight behold really cold much fun actually like crowd control measure whereby check facility book queue via sms room make excellent second day place couple champagne glass service crew jian yang place number coaster espresso cube guest well really nice touch make day think worth every single cent consider whole experience,Positive
5,great staycation celebrate anniversary alice polite efficient very helpful upon check even though busy guest mbs good system ensure safe social distance strict number people go room room clean great view sea overall great time,Positive
6,booked room celebrate friend birthday write early request help planning surprise party amaze promptness reply best accommodate request impress concierge staff even know need simply told name explain concierge staff briefed suppose remember detail needless say room pristine clean best stayed view room breathtaking,Positive
7,staycation great beautiful harbour view room clean staff friendly good promo give credit per room night use din sad didn manage access infinity pool fully book definitely come back staycation,Positive
8,year since last stayed mb remain fun enjoyable infinity pool wasn available throughout night stay many thing eat within compound outside stay tower time balcony could sit eat read chill appreciate view sea garden bay bed linen extremely comfortable service very prompt pleasant also many restaurant shop wander great staycation,Positive
9,would extend compliment ms catherine pool attendance mbs go thru extra mile make holiday stay memorable one patient care attitude worth commendable,Positive
10,would like compliment staff name hannah front office very kind helpful show great initiative job keep enjoyed stay stay st december,Positive
12,wasn very happy time take check even provide information via online check everything thereafter very good room perfect natural light fantastic view well maintain room accessory high quality bathroom fitting well clean window hint pay attention detail clean towel wrap high safety pandemic perfectly work air condition control wifi well expect room service excellent term food quality classy delivery infinity pool experience excellent almost magical advertise hit two snag stay problem hot water tv try priority service button phone time,Positive
13,stay mbs phase implement visit skypark swimming pool night morning take sunset sunrise photo pool appointment worth effort no longer crowd room come balcony nice view garden bay though balcony need cleaning could due covid restaurant room mrt within walk distance,Positive
14,always enjoy stay mbs would like compliment staff name iryn front office very kind helpful show initiative towards job appreciate effort keep return,Positive
16,night wonderful stay marina bay sand lot shop feast come beautiful city break work festivity year round staff professionalism friendliness superior customer service skill pamper make stay enjoyable one,Positive
17,truly wonderful time mbs room stay premiere room view room garden bay relax very spacious even bathroom very nice bath tub room very clean towel robe even hygienically pack seal special thanks one housekeep staff xi mei appreciate initiative place kiddie slipper small towel child return room without us request daughter happy kiddie slipper also complimentary drink soda can bottle juice mini fridge bottle water snack also complimentary ticket observatory sad,Positive
18,book premier city view room bathtub create play space young kid didn regret decision lot fun run around room enjoyed water play bathtub also charm city view every morning wake night skyline bedtime besides also complimentary ticket head observatory magnificent view foodwise lot option kid able eat free buffet restaurant mbs surprise book timeslot infinity pool good book slot moment receive confirmation email special thanks staff go,Positive
19,last time go mb december go friend family member get special room good price food nice staff amaze room clean nice,Positive
20,staycation never holiday plan air land sea not option year staycation might best option book premium room city view room size huge bathroom separate stand shower room bathtub family young kid baby love ample size park gigantic stroller large space open luggage however not brush kit brush mug kid forget bring one bathrobe slipper provide upon request shouldn include room since know kid check not mention stool kid wash hand brush teeth big bathroom not necessary provide,Positive
22,stay mb tower room family due covid check process abit longer overall very happy service mbs room clean face garden view would say big thank housekeeper level miss wang li sincere smile service definetely come back another staycation,Positive
23,mb best accommodation amenity best service staff include check staff room service necessity room very spacious child like play room without worry get hurt enjoyed good scenery balcony thing chinese not like big mirror face bed sleep not good sign,Positive
24,night mb price wise definitely high even though reduce due no traveller covid era however service quality speak price everything top notch front desk security team room service definitely return extra money view infinity pool definitely one visit lifetime even though mbs year old amazingly well maintain amaze staycaytion trust one night isnt enough kudos staff make stay memorable one,Positive
26,first visit mbs time open remember excited new consort ten year still home best place dine sg duo covid pool bit annoy beside fun activity great night,Positive
27,say best world may very well internationally famous world wide crazy rich asians movie life every bit hype very impressive state art one kind feature view definitely hand best pool world top guest food best want save money also walk lobby onto many option local mall food court best world well,Positive
28,stay iconic june husband year old daughter experience right check check amaze needless say mall attach huge almost luxury brand iconic infinity pool superb one cannot explain word experience give staff super helpful everything request very minimum time overall place give us superb experience,Positive
29,never really thought staycation covid put pay travel plan last many month weekend away barely kilometres home suddenly seem not bad idea good really great job prioritize health safety felt very safe infinity pool not first time charm admittedly worn instant hit rest folk group hard find fault truly eclectic experience view glitz enjoy city garden view good way city room view balcony though got upgraded orchid suite second night could,Positive
30,staycation auntie day night very happy comfortable clean room nice garden view room attendant dan dan very friendly polite room clean also very neat clean,Positive
31,stay outstanding nice service awesome front desk staff friendly amicable stayed room premier city view room okay view great smoker head lavo smoke area level view greaaaaaat love love infinity pool staff extremely friendly couldnt get name filipino lady malay old man serve us drink food best photographer rajan guess name thank rajan wonderful job much fun con stay room din little ex food isnt bad best use grab app food affordable lunch dinner head rasapura,Positive
32,big thanks steven wong making room possible even take waive additional charge behalf generous room allot room big regular sized hotel six star view marina bay incredible day night room din menu superb guest enjoy burger pizza order friendly chambermaid helpful ensure room ameneties replenish soon rang assistance steven wong comms get go book throughout duration stay l forget staff put much effort make mb tick daily thanks memorable experience,Positive
33,stay last year th birthday book family room huge large terrace foyer bit like airport doesn feel like check quick know whether child us take straight vip check area bag take advise could use pool area room ready view roof top pool fabulous albeit day stay bit overcast waiter service pool drink food quite expensive expect expensive book stay night stay another rest holiday book room service dinner outstanding lots choice menu gluten free option,Positive
34,possibly best stay anywhere everything perfect upgrade very welcome surprise birthday cake birthday notice special little touch room spacious well set view garden bay sea great covid safety precaution well thought execute infinity pool th floor great place hang sadly time one hour session permit best book well ahead secure time slot want wonderful place stay felt like real holiday away home,Positive
35,experience place fantastic amazing natural place surround exotic flower fact excite holiday life thank much effort make make visit enjoyable,Positive
36,enjoyable stay even though didn feel like get city usual activity like infinity pool gym eat mb covid everything well organize follow rule felt session gym pool short could longer though would great package f b spa include,Positive
37,candy work staff infinity swim shop very friendly customer service orient showed item decide buy buy one sourvinor gold plat coin vend machine per piece,Positive
39,offer upgrade well room grand piano gym spa room sauna room game karaoke room kitchen balcony overlook bay simply spectacular one kind experience,Positive
40,would like express gratitude compliment towards mbs team member mr yap room no attend miss xxxx indian girl front desk staff remember name oct time pm tower positive patience attitude professional skill super knowledge impress check miss xiao yue housekeep department super friendly nice room very big clean could enjoy sea garden view balcony,Positive
41,stay fantastic helpful front desk staff great service origin bloom staff great patience customer many request room service prompt smiley helpful special shout ryan infinity pool show us great photo spot help us take photo,Positive
42,check drunk receptionist super friendly nice even room din friendly two drunkard ask food service top worth money comeback sure,Positive
